肖申克的救赎,霸王别姬,阿甘正传,这个杀手不太冷,美丽人生,泰坦尼克号,千与千寻,辛德勒的名单,盗梦空间,忠犬八公的故事,海上钢琴师,楚门的世界,三傻大闹宝莱坞,机器人总动员,放牛班的春天,星际穿越,大话西游之大圣娶亲,熔炉,疯狂动物城,无间道,龙猫,教父,当幸福来敲门,怦然心动,触不可及
https://movie.douban.com/subject/1292052/,https://movie.douban.com/subject/1291546/,https://movie.douban.com/subject/1292720/,https://movie.douban.com/subject/1295644/,https://movie.douban.com/subject/1292063/,https://movie.douban.com/subject/1292722/,https://movie.douban.com/subject/1291561/,https://movie.douban.com/subject/1295124/,https://movie.douban.com/subject/3541415/,https://movie.douban.com/subject/3011091/,https://movie.douban.com/subject/1292001/,https://movie.douban.com/subject/1292064/,https://movie.douban.com/subject/3793023/,https://movie.douban.com/subject/2131459/,https://movie.douban.com/subject/1291549/,https://movie.douban.com/subject/1889243/,https://movie.douban.com/subject/1292213/,https://movie.douban.com/subject/5912992/,https://movie.douban.com/subject/25662329/,https://movie.douban.com/subject/1307914/,https://movie.douban.com/subject/1291560/,https://movie.douban.com/subject/1291841/,https://movie.douban.com/subject/1849031/,https://movie.douban.com/subject/3319755/,https://movie.douban.com/subject/6786002/
蝙蝠侠：黑暗骑士,控方证人,活着,乱世佳人,寻梦环游记,末代皇帝,摔跤吧！爸爸,指环王3：王者无敌,何以为家,少年派的奇幻漂流,飞屋环游记,十二怒汉,鬼子来了,天空之城,素媛,哈尔的移动城堡,大话西游之月光宝盒,天堂电影院,罗马假日,闻香识女人,辩护人,哈利·波特与魔法石,我不是药神,搏击俱乐部,死亡诗社
https://movie.douban.com/subject/1851857/,https://movie.douban.com/subject/1296141/,https://movie.douban.com/subject/1292365/,https://movie.douban.com/subject/1300267/,https://movie.douban.com/subject/20495023/,https://movie.douban.com/subject/1293172/,https://movie.douban.com/subject/26387939/,https://movie.douban.com/subject/1291552/,https://movie.douban.com/subject/30170448/,https://movie.douban.com/subject/1929463/,https://movie.douban.com/subject/2129039/,https://movie.douban.com/subject/1293182/,https://movie.douban.com/subject/1291858/,https://movie.douban.com/subject/1291583/,https://movie.douban.com/subject/21937452/,https://movie.douban.com/subject/1308807/,https://movie.douban.com/subject/1299398/,https://movie.douban.com/subject/1291828/,https://movie.douban.com/subject/1293839/,https://movie.douban.com/subject/1298624/,https://movie.douban.com/subject/21937445/,https://movie.douban.com/subject/1295038/,https://movie.douban.com/subject/26752088/,https://movie.douban.com/subject/1292000/,https://movie.douban.com/subject/1291548/
教父2,指环王2：双塔奇兵,狮子王,大闹天宫,窃听风暴,猫鼠游戏,指环王1：魔戒再现,两杆大烟枪,美丽心灵,钢琴家,饮食男女,黑客帝国,飞越疯人院,V字仇杀队,本杰明·巴顿奇事,让子弹飞,看不见的客人,西西里的美丽传说,小鞋子,拯救大兵瑞恩,绿皮书,海豚湾,情书,穿条纹睡衣的男孩,音乐之声
https://movie.douban.com/subject/1299131/,https://movie.douban.com/subject/1291572/,https://movie.douban.com/subject/1301753/,https://movie.douban.com/subject/1418019/,https://movie.douban.com/subject/1900841/,https://movie.douban.com/subject/1305487/,https://movie.douban.com/subject/1291571/,https://movie.douban.com/subject/1293350/,https://movie.douban.com/subject/1306029/,https://movie.douban.com/subject/1296736/,https://movie.douban.com/subject/1291818/,https://movie.douban.com/subject/1291843/,https://movie.douban.com/subject/1292224/,https://movie.douban.com/subject/1309046/,https://movie.douban.com/subject/1485260/,https://movie.douban.com/subject/3742360/,https://movie.douban.com/subject/26580232/,https://movie.douban.com/subject/1292402/,https://movie.douban.com/subject/1303021/,https://movie.douban.com/subject/1292849/,https://movie.douban.com/subject/27060077/,https://movie.douban.com/subject/3442220/,https://movie.douban.com/subject/1292220/,https://movie.douban.com/subject/3008247/,https://movie.douban.com/subject/1294408/
海蒂和爷爷,美国往事,致命魔术,低俗小说,七宗罪,沉默的羔羊,蝴蝶效应,禁闭岛,春光乍泄,心灵捕手,布达佩斯大饭店,被嫌弃的松子的一生,阿凡达,摩登时代,剪刀手爱德华,勇敢的心,天使爱美丽,喜剧之王,致命ID,加勒比海盗,断背山,杀人回忆,哈利·波特与死亡圣器(下),狩猎,请以你的名字呼唤我
https://movie.douban.com/subject/25958717/,https://movie.douban.com/subject/1292262/,https://movie.douban.com/subject/1780330/,https://movie.douban.com/subject/1291832/,https://movie.douban.com/subject/1292223/,https://movie.douban.com/subject/1293544/,https://movie.douban.com/subject/1292343/,https://movie.douban.com/subject/2334904/,https://movie.douban.com/subject/1292679/,https://movie.douban.com/subject/1292656/,https://movie.douban.com/subject/11525673/,https://movie.douban.com/subject/1787291/,https://movie.douban.com/subject/1652587/,https://movie.douban.com/subject/1294371/,https://movie.douban.com/subject/1292370/,https://movie.douban.com/subject/1294639/,https://movie.douban.com/subject/1292215/,https://movie.douban.com/subject/1302425/,https://movie.douban.com/subject/1297192/,https://movie.douban.com/subject/1298070/,https://movie.douban.com/subject/1418834/,https://movie.douban.com/subject/1300299/,https://movie.douban.com/subject/3011235/,https://movie.douban.com/subject/6985810/,https://movie.douban.com/subject/26799731/
幽灵公主,阳光灿烂的日子,小森林 夏秋篇,重庆森林,入殓师,第六感,7号房的礼物,消失的爱人,红辣椒,小森林 冬春篇,爱在黎明破晓前,一一,侧耳倾听,唐伯虎点秋香,超脱,玛丽和马克思,倩女幽魂,蝙蝠侠：黑暗骑士崛起,告白,大鱼,阳光姐妹淘,甜蜜蜜,萤火之森,射雕英雄传之东成西就,无人知晓
https://movie.douban.com/subject/1297359/,https://movie.douban.com/subject/1291875/,https://movie.douban.com/subject/25814705/,https://movie.douban.com/subject/1291999/,https://movie.douban.com/subject/2149806/,https://movie.douban.com/subject/1297630/,https://movie.douban.com/subject/10777687/,https://movie.douban.com/subject/21318488/,https://movie.douban.com/subject/1865703/,https://movie.douban.com/subject/25814707/,https://movie.douban.com/subject/1296339/,https://movie.douban.com/subject/1292434/,https://movie.douban.com/subject/1297052/,https://movie.douban.com/subject/1306249/,https://movie.douban.com/subject/5322596/,https://movie.douban.com/subject/3072124/,https://movie.douban.com/subject/1297447/,https://movie.douban.com/subject/3395373/,https://movie.douban.com/subject/4268598/,https://movie.douban.com/subject/1291545/,https://movie.douban.com/subject/4917726/,https://movie.douban.com/subject/1305164/,https://movie.douban.com/subject/5989818/,https://movie.douban.com/subject/1316510/,https://movie.douban.com/subject/1292337/
驯龙高手,超能陆战队,幸福终点站,借东西的小人阿莉埃蒂,菊次郎的夏天,爱在日落黄昏时,恐怖直播,完美的世界,神偷奶爸,怪兽电力公司,功夫,玩具总动员3,人生果实,血战钢锯岭,傲慢与偏见,风之谷,时空恋旅人,天书奇谭,教父3,上帝之城,电锯惊魂,喜宴,被解救的姜戈,英雄本色,谍影重重3
https://movie.douban.com/subject/2353023/,https://movie.douban.com/subject/11026735/,https://movie.douban.com/subject/1292274/,https://movie.douban.com/subject/4202302/,https://movie.douban.com/subject/1293359/,https://movie.douban.com/subject/1291990/,https://movie.douban.com/subject/21360417/,https://movie.douban.com/subject/1300992/,https://movie.douban.com/subject/3287562/,https://movie.douban.com/subject/1291579/,https://movie.douban.com/subject/1291543/,https://movie.douban.com/subject/1858711/,https://movie.douban.com/subject/26874505/,https://movie.douban.com/subject/26325320/,https://movie.douban.com/subject/1418200/,https://movie.douban.com/subject/1291585/,https://movie.douban.com/subject/10577869/,https://movie.douban.com/subject/1428581/,https://movie.douban.com/subject/1294240/,https://movie.douban.com/subject/1292208/,https://movie.douban.com/subject/1417598/,https://movie.douban.com/subject/1303037/,https://movie.douban.com/subject/6307447/,https://movie.douban.com/subject/1297574/,https://movie.douban.com/subject/1578507/
七武士,哪吒闹海,岁月神偷,我是山姆,釜山行,头号玩家,纵横四海,疯狂原始人,三块广告牌,心迷宫,哈利·波特与阿兹卡班的囚徒,达拉斯买家俱乐部,萤火虫之墓,荒蛮故事,真爱至上,卢旺达饭店,贫民窟的百万富翁,东邪西毒,你的名字。,记忆碎片,爆裂鼓手,花样年华,黑天鹅,一个叫欧维的男人决定去死,忠犬八公物语
https://movie.douban.com/subject/1295399/,https://movie.douban.com/subject/1307315/,https://movie.douban.com/subject/3792799/,https://movie.douban.com/subject/1306861/,https://movie.douban.com/subject/25986180/,https://movie.douban.com/subject/4920389/,https://movie.douban.com/subject/1295409/,https://movie.douban.com/subject/1907966/,https://movie.douban.com/subject/26611804/,https://movie.douban.com/subject/25917973/,https://movie.douban.com/subject/1291544/,https://movie.douban.com/subject/1793929/,https://movie.douban.com/subject/1293318/,https://movie.douban.com/subject/24750126/,https://movie.douban.com/subject/1292401/,https://movie.douban.com/subject/1291822/,https://movie.douban.com/subject/2209573/,https://movie.douban.com/subject/1292328/,https://movie.douban.com/subject/26683290/,https://movie.douban.com/subject/1304447/,https://movie.douban.com/subject/25773932/,https://movie.douban.com/subject/1291557/,https://movie.douban.com/subject/1978709/,https://movie.douban.com/subject/26628357/,https://movie.douban.com/subject/1959195/
黑客帝国3：矩阵革命,模仿游戏,哈利·波特与密室,头脑特工队,你看起来好像很好吃,未麻的部屋,雨人,新世界,无敌破坏王,海街日记,冰川时代,恋恋笔记本,惊魂记,二十二,海边的曼彻斯特,房间,恐怖游轮,虎口脱险,魔女宅急便,奇迹男孩,人工智能,雨中曲,疯狂的石头,绿里奇迹,小偷家族
https://movie.douban.com/subject/1302467/,https://movie.douban.com/subject/10463953/,https://movie.douban.com/subject/1296996/,https://movie.douban.com/subject/10533913/,https://movie.douban.com/subject/4848115/,https://movie.douban.com/subject/1395091/,https://movie.douban.com/subject/1291870/,https://movie.douban.com/subject/10437779/,https://movie.douban.com/subject/6534248/,https://movie.douban.com/subject/25895901/,https://movie.douban.com/subject/1291578/,https://movie.douban.com/subject/1309163/,https://movie.douban.com/subject/1293181/,https://movie.douban.com/subject/26430107/,https://movie.douban.com/subject/25980443/,https://movie.douban.com/subject/25724855/,https://movie.douban.com/subject/3011051/,https://movie.douban.com/subject/1296909/,https://movie.douban.com/subject/1307811/,https://movie.douban.com/subject/26787574/,https://movie.douban.com/subject/1302827/,https://movie.douban.com/subject/1293460/,https://movie.douban.com/subject/1862151/,https://movie.douban.com/subject/1300374/,https://movie.douban.com/subject/27622447/
爱在午夜降临前,罗生门,终结者2：审判日,初恋这件小事,海洋,魂断蓝桥,可可西里,燃情岁月,2001太空漫游,穿越时空的少女,城市之光,牯岭街少年杀人事件,无耻混蛋,新龙门客栈,完美陌生人,源代码,阿飞正传,青蛇,色，戒,香水,谍影重重2,遗愿清单,血钻,地球上的星星,大佛普拉斯
https://movie.douban.com/subject/10808442/,https://movie.douban.com/subject/1291879/,https://movie.douban.com/subject/1291844/,https://movie.douban.com/subject/4739952/,https://movie.douban.com/subject/3443389/,https://movie.douban.com/subject/1293964/,https://movie.douban.com/subject/1308857/,https://movie.douban.com/subject/1295865/,https://movie.douban.com/subject/1292226/,https://movie.douban.com/subject/1937946/,https://movie.douban.com/subject/1293908/,https://movie.douban.com/subject/1292329/,https://movie.douban.com/subject/1438652/,https://movie.douban.com/subject/1292287/,https://movie.douban.com/subject/26614893/,https://movie.douban.com/subject/3075287/,https://movie.douban.com/subject/1305690/,https://movie.douban.com/subject/1303394/,https://movie.douban.com/subject/1828115/,https://movie.douban.com/subject/1760622/,https://movie.douban.com/subject/1308767/,https://movie.douban.com/subject/1867345/,https://movie.douban.com/subject/1428175/,https://movie.douban.com/subject/2363506/,https://movie.douban.com/subject/27059130/
战争之王,谍影重重,疯狂的麦克斯4：狂暴之路,猜火车,彗星来的那一夜,步履不停,朗读者,浪潮,九品芝麻官,小萝莉的猴神大叔,再次出发之纽约遇见你,哈利·波特与火焰杯,东京物语,驴得水,聚焦,追随,千钧一发,一次别离,波西米亚狂想曲,我爱你,黑鹰坠落,网络谜踪,四个春天,发条橙,E.T. 外星人
https://movie.douban.com/subject/1419936/,https://movie.douban.com/subject/1304102/,https://movie.douban.com/subject/3592854/,https://movie.douban.com/subject/1292528/,https://movie.douban.com/subject/25807345/,https://movie.douban.com/subject/2222996/,https://movie.douban.com/subject/2213597/,https://movie.douban.com/subject/2297265/,https://movie.douban.com/subject/1297518/,https://movie.douban.com/subject/26393561/,https://movie.douban.com/subject/6874403/,https://movie.douban.com/subject/1309055/,https://movie.douban.com/subject/1291568/,https://movie.douban.com/subject/25921812/,https://movie.douban.com/subject/25954475/,https://movie.douban.com/subject/1397546/,https://movie.douban.com/subject/1300117/,https://movie.douban.com/subject/5964718/,https://movie.douban.com/subject/5300054/,https://movie.douban.com/subject/5908478/,https://movie.douban.com/subject/1291824/,https://movie.douban.com/subject/27615441/,https://movie.douban.com/subject/27191492/,https://movie.douban.com/subject/1292233/,https://movie.douban.com/subject/1294638/
